trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9994}",30,15,-6.217688625108853,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9987999999999999}",20,-80,-382.6076659464068,"{0: 60, 1: 15, 2: 19, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9981999999999999}",20,-100,-584.4745129142748,"{0: 74, 1: 8, 2: 23, 3: 9, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.9975999999999998}",25,-100,-671.2826333655123,"{0: 77, 1: 14, 2: 19, 3: 4, 4: 11}",0
5,False,"{'a': 0.5, 'e': 0.9969999999999998}",35,-100,-766.2964045974104,"{0: 83, 1: 15, 2: 19, 3: 5, 4: 13}",0
6,False,"{'a': 0.5, 'e': 0.9963999999999997}",20,-100,-578.731905304944,"{0: 66, 1: 19, 2: 23, 3: 7, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9957999999999997}",25,-56,-397.74415292230924,"{0: 44, 1: 8, 2: 22, 3: 4, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9951999999999996}",25,-9,-204.57528897706675,"{0: 17, 1: 6, 2: 6, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9945999999999996}",30,-100,-522.7628536439737,"{0: 86, 1: 13, 2: 17, 3: 8, 4: 6}",0
10,False,"{'a': 0.5, 'e': 0.9939999999999996}",25,-79,-477.69023366759154,"{0: 62, 1: 11, 2: 23, 3: 2, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.9933999999999995}",25,-32,-253.4630654985963,"{0: 31, 1: 8, 2: 14, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9927999999999995}",25,-100,-817.9382694266193,"{0: 67, 1: 14, 2: 27, 3: 5, 4: 12}",0
13,False,"{'a': 0.5, 'e': 0.9921999999999994}",20,-73,-501.4734928713219,"{0: 54, 1: 12, 2: 14, 3: 7, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.9915999999999994}",25,-47,-334.8314565310199,"{0: 45, 1: 6, 2: 15, 3: 1, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.9909999999999993}",20,-16,-174.56673103186407,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9903999999999993}",25,-100,-594.6871452929571,"{0: 69, 1: 23, 2: 24, 3: 2, 4: 7}",0
17,False,"{'a': 0.5, 'e': 0.9897999999999992}",20,-100,-532.1384477532762,"{0: 73, 1: 18, 2: 19, 3: 2, 4: 8}",0
