trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-60,-286.0466150386363,"{0: 52, 1: 7, 2: 16, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-100,-788.8598698994366,"{0: 73, 1: 11, 2: 24, 3: 4, 4: 13}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-74,-467.8859318071922,"{0: 53, 1: 14, 2: 15, 3: 8, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,-100,-629.9631320720011,"{0: 80, 1: 10, 2: 27, 3: 5, 4: 8}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-92,-480.0478200238513,"{0: 70, 1: 12, 2: 21, 3: 2, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-609.860976752739,"{0: 78, 1: 16, 2: 19, 3: 1, 4: 11}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-30,-266.1387897412847,"{0: 25, 1: 4, 2: 17, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-667.0303128488997,"{0: 73, 1: 8, 2: 26, 3: 2, 4: 11}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-39,-238.36066355891302,"{0: 40, 1: 3, 2: 9, 3: 4, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-7,-101.92681451036515,"{0: 23, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-686.7134501458315,"{0: 70, 1: 15, 2: 26, 3: 5, 4: 9}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-701.7419061214887,"{0: 70, 1: 13, 2: 21, 3: 6, 4: 10}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,-23,-224.46431586402306,"{0: 31, 1: 7, 2: 18, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-75,-428.94256961725154,"{0: 52, 1: 10, 2: 25, 3: 6, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-22,-266.2524537115314,"{0: 23, 1: 6, 2: 7, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,11,-25.24324264551537,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,-61,-387.58321477659933,"{0: 52, 1: 13, 2: 12, 3: 4, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-30,-250.1038458856487,"{0: 27, 1: 6, 2: 12, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,3,-53.66097400401893,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-443.90865106534585,"{0: 80, 1: 17, 2: 18, 3: 5, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-10,-180.001904027334,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-39,-278.90457857585335,"{0: 36, 1: 7, 2: 10, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,-38,-251.1245948686045,"{0: 44, 1: 6, 2: 12, 3: 4, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-100,-535.9927292753738,"{0: 86, 1: 11, 2: 16, 3: 2, 4: 10}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-373.83139821872385,"{0: 88, 1: 8, 2: 22, 3: 2, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-64,-491.10747522161944,"{0: 58, 1: 7, 2: 18, 3: 4, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,7,-66.80960661167833,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-776.5999954850297,"{0: 64, 1: 14, 2: 25, 3: 6, 4: 11}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-42,-577.7459224640353,"{0: 34, 1: 8, 2: 12, 3: 3, 4: 10}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-83,-483.94247173287744,"{0: 68, 1: 5, 2: 16, 3: 8, 4: 6}",0
